,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
6,,,E," IV. Bowls and cups (nos. 6‰ÛÓ9). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XV, d;",,"6. Sk. ‰Ûª30‰ÛÓ382/1; Block E; sq. 6766‰Ûª; stratum III. From same •Ând as no. 15 infra. Silver bowl with round bottom, •Ââared mouth and cordon moulding round middle. Diam. 4- 56 in. Thick metal. For the shape, cf. ‰Û÷Pottery‰Ûª, nos. 105, 106; Dalton, The Treasure of the Oxus, no. 18 (p. 82) and no. 180 (p. 120) and Compte Rendu (1880), p. 223; Atlas, Pl. 111, •Âg. 5. See also p. 162, nos. 19, 20 supra. (Pl. 187, no. 6.) 7, a~e. Sk. ‰Ûª26‰ÛÓ4,o81/24. From same hoard as no. 1 (41.12.). Five shallow bowls of silver with round bottoms. Two of them bear the same inscription in Kharoshthi, viz.: Theu'taras(y)a Thavaraputras(y)a= ‰Û÷Of Theodorus, the son of Thavara.‰Ûª Cf. p. 157 (20) supra; C.I.I. II, pt. I, p. 97 (nos. 1, 2) and P1. XIX, nos. I, 2; A.S.R. (1926), p. 115, no. 13. (Pls. 187, no. 7, a, b; 188, no. 7, a, 1).) Type b. Bowls with low standard bases. Of the Greek kylix pattern, but without handles.",187-6,Sk,3,1930,29
8,,,," IV. Bowls and cups (nos. 6‰ÛÓ9). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XV, d;",,"8, a‰ÛÓc. Sk. ‰Ûª26‰ÛÓ4,081/23; stratum III. From same hoard as no. 1 (q.v.). Three circular silver bowls with shallow trumpet base soldered to bottom. Diam. 7'75 and 787 in. Cf. p. 157 (21) supra; A.S.R. (1926), p. 115, no. 11; P1. XXVII, 9. (Pls. 187, no. 8; 188, no. 8.)",,Sk,3,1926,29
9,101,86,G," IV. Bowls and cups (nos. 6‰ÛÓ9). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XV, d;","101,86","9, a, b. Sk. ‰Ûª26‰ÛÓ4,081/26; stratum III. From same hoard as no. 1 ((1.1).). Two silver cups with shallow base. Diam. 3-87 in. Cf. p. 157 (22) supra; A.S.R. (1926), p. 114, no. 6 and P1. XXVII, 4. (Pls. 187, no. 9; 188, no. 9.) ch. 25, Classes VII, VIII; ‰Û÷Copper and Bronze‰Ûª, ch. 28, Class XVII IO. Sk. ‰Ûª26‰ÛÓ4,081/2I. From same hoard as no. 1 (q.v.). Round silver dish with raised boss in centre, terminating in knob and surrounded by six incised concentric circles. Diam. 8-75 in. ; weight 7 5053 gr. Inscription in Kharoshthi on body: Min'ijukritasa sa 20 IO dha 2= ‰Û÷(Pr0‰ÛÓ perty) of Mimjukrita: 3o staters, 2 drachms.‰Ûª Cf. p. 157 (23) supra. This vessel is a much stylised version of the familiar Greek phiale mesomphalos, which was most popular in the third and second centuries 3.0. Two similar dishes of silver (10, b, c) were found in Block G‰Ûª, House III in Sirkap (Sk. ‰Ûª28‰ÛÓ2,068; sq. 101 -86‰Ûª; diam. 12' 5 and 12-7 5 in. respectively) along with a coin of Zeionises, but without any inscription. Cf. A.S.R. (1928), p. 58, no. 71 and P1. XXII, 6. Three similar dishes of copper, and others of terra-cotta and stone have also been unearthed on CH. 29] SILVERWARE 613 the same site. Cf. ‰Û÷Copper and Bronze‰Ûª, ch. 28, (no. 289; ‰Û÷Pottery‰Ûª, ch. 23, no. 109; and ‰Û÷ Stone Objects‰Ûª, ch. 25, nos. 39, 40. See A.S.R. (1926), p. 115, no. 12 and P1. XXVII, 10; and, for the inscriptions, C.I.I. vol. II, pt. I, pp. 99 (4) and P1. XIX‰ÛÓ4. (Pls. 187, no. 10; 188, no. 10.)",,Sk,3,1926,29
11,62,113,D," V. Dishes and plates (nos. 10‰ÛÓ12). Cf. ‰Û÷Pottery ‰Ûª, ch. 23, Class XVI; ‰Û÷ Stone ‰Ûª,","62,113","11. Sk. ‰Ûª29‰ÛÓ1,362/4; Block D‰Ûª; sq. 62-113‰Ûª; stratum III. Silver saucer with •Ââat base, carinated sides and everted rim. Diam. 6-12 in.; weight 2603-7 gr.; on base, concentric countersunk circles and between them inscription in Kharoshthi: As‰Ûªpavarmasa strategasa Sa 10. 1. Dra 2.0 2. = ‰Û÷Of As‰Ûªpavarma, the strategos. 11 staters, 2 drachms, 2 obols.‰Ûª For the shape, cf. ‰Û÷Pottery‰Ûª, no. 107. As‰Ûªpavarma, son of Indravarma, was ‰Û÷strategos‰Ûª during the reigns of Azes II and Gondophares. He was succeeded by his ‰Û÷nephew‰Ûª Sasas, but not in the of•Âce of strategos. The title strategos was inherited by the Sakas and Parthians from the Seleucid Empire. What precisely the title implied is uncertain. In the Cambridge History of India it is translated ‰Û÷commander-in‰ÛÓchief‰Ûª; by others it has been interpreted as the equivalent of satrap. That it implied something more than ‰Û÷commander-in-chief‰Ûª seems probable from the fact that Aspavarma struck coins in his own name as strategos. On the other hand, it is evident that there was a distinction at TaXila between kshatrapa and strategos. Cf. ch. 2, p. 62 supra. For deposit D of Block D‰Ûª, with which this saucer (no. 4) and other articles of gold and silver were found, see ch. 6, p. 188 supra. (Pl. 187, no. 11.)",187-11,Sk,3,1929,29
12,,,," V. Dishes and plates (nos. 10‰ÛÓ12). Cf. ‰Û÷Pottery ‰Ûª, ch. 23, Class XVI; ‰Û÷ Stone ‰Ûª,",,"12, a‰ÛÓe. Sk. ‰Ûª26‰ÛÓ4,081/25. From the same hoard as no. I ((1.7).). Five circular saucers of silver with •Ââat bases, slightly concave underneath, and everted sides and lip. Diam. 5-62‰ÛÓ 825 in. Cf. p. 157 (24) supra; A.S.R. (1926), p. 114, no. 5, and P1. XXVII, 3. Other silver saucers of the same type have been found in Sirkap, e.g. no. 12, f= Sk. ‰Ûª29-1,362/ 5, which came from the same deposit as no. 11 supra. (Pls. 187, no. 12; 189, no. 12.)",,Sk,,1926,29
13,,,, VI. Rectangular plate on legs (no. I 3),,"13. Sk. ‰Ûª26‰ÛÓ4,o81/2o. From the same hoard as no. 1 (q.v.). Rectangular plate of silver, with curved rim, on four legs, one of which is missing. Size 8-8 x 6-12 in.; weight 5,378 gr. The legs, like the bases of the goblets, are an alloy of silver and copper, the copper being added probably to assist the soldering or welding of the metal. On the back is a short inscription in Kharoshthi, which reads: Mumjukritas(y)a sa 20 dra 1 = ‰Û÷(Property) of Mun‰Û÷njukrita, 20 staters, 1 drachm.‰Ûª Cf. p. I 57 (25) supra; C.I.I. II, pt. I, p. 98 (3) and P1. XIX, 3. For another example of a rect- angular dish (lanx quadrata), cf. B.M. Cat. of Silver Plate, no. 87, and Odobesco, Le TrÌ©sor de Petrossa, p. 111, •Âg. 42. (Pls. 187, no. 13; 188, no. 13.)",,Sk,,1926,29
14,59,114,D," VII. Paterae of repoussÌ© and incrusted silver (no. 14, a, b)","59,114","14, a, b. Sk. ‰Ûª19‰ÛÓ933/8; Block D‰Ûª; deposit E; sq. 59-114‰Ûª; stratum II. Two dishes or paterae of silver repoussÌ©, once incrusted with gems or paste. Diam. 6-5 in. The repoussÌ© decoration is disposed in concentric circles‰ÛÓ~a small ring in the middle surrounded by pear- shaped cloisons; then a wreath divided into siX sections, with varying patterns; and round this, again, a swag border followed by a beaded edging. The incrustation was in the central ring, the pear-shaped cloisons and the swag border. For the pear-shaped cloisons, see Dalton, Treasure of the Oxus, no. 18, Pl. VIII. Parthian period. A.S.R. (1919), p. 19 and P1. VIII, 5. For details of the hoard in which these two paterae (no. 5) were found, see pp. I88‰ÛÓ9 supra. (P13. 187, no. 14; 189, no. 14, a, 1).) Classes XX and XXI, nos. 306‰ÛÓ18, and ‰Û÷Iron‰Ûª, ch. 27, Class VI, no. 24",,Sk,2,1919,29
15,67,66,E," VIII. Ladles and spoons (nos. 15‰ÛÓ17). Cf. ‰Û÷ Copper and Bronze‰Ûª, ch. 28,","67,66","15. Sk. ‰Ûª30‰ÛÓ382/2; Block E; sq. 67-66‰Ûª; stratum III. Ladle of silver with ring-handle, similar to the copper ladles nos. 3o6~8. Length 7-12 in. On the outside of the bowl is a short MT 78 614 SILVERWARE [CH. 29 Kharoshthi inscription of six letters, of which three only are legible, viz.: .ma ya. .sa. From same •Ândspot as no. 6 (q.v.). Cf. p. 162 (20) supra. (Pl. 187, no. I 5.)",187-I 5,Sk,3,1930,29
16,77,66,E," VIII. Ladles and spoons (nos. 15‰ÛÓ17). Cf. ‰Û÷ Copper and Bronze‰Ûª, ch. 28,","77,66","16. Sk. ‰Ûª13‰ÛÓ194/2; Block E; sq. 77-66‰Ûª; stratum II. From the same hoard as the Dionysus head no. 21. Silver spoon with handle terminating in cloven hoof and attached to the spoon by a rat-tail ridge. Length 637 in. This pattern of spoon was fashionable in the Hellenistic world from about 300 B.C. onwards, and a favourite one in Italy in the •Ârst century AD. This one may either have been imported from the Mediterranean or copied from a Graeco-Roman model. Cf. the copper spoons nos. 312, 313; A.S.R. (1912), p. 26, no. 2 and Pl. XX, i. For other objects from the same hoard, see pp. 159‰ÛÓ60 supra. (Pls. 187, no. 16; 189, no. 16.)",,Sk,2,1913,29
17,,,," VIII. Ladles and spoons (nos. 15‰ÛÓ17). Cf. ‰Û÷ Copper and Bronze‰Ûª, ch. 28,",,"17. Sk. ‰Ûª26‰ÛÓ4,o81/I6. From the same hoard as no. 1 (q.v.). Silver spoon with plain straight handle terminating in knob. The bowl of the spoon is shovel‰ÛÓshaped and very shallow. Length 625 in. Cf. p. 157 (26) supra; A.S.R. (1926), p. 115, no. 16. In the same hoard was also found the broken handle of another silver spoon terminating in a leaf (length 287 in.). (Pls. 187, no. 17; 189, no. 17, a, 1).)",,Sk,,1926,29
18,,,," IX. Strainers (nos. 18, 19)",,"18. Sk. ‰Ûª26‰ÛÓ4,o81 /18. From same hoard as no. 1 (gm). Circular strainer, with broad •Ââat rim furnished with ring-handle. Diam. 675 in. Cf. p. 157 (27) supra; A.S.R. (1926), p. II 5, no. 9 and P1. XXVII, 7. For earthenware strainers, see ‰Û÷Pottery‰Ûª, ch. 23, Class XVIII, type b, and for examples in silver, Dar. et Sag. I, p. 1331, s.v. ‰Û÷Colum‰Ûª, and RM. Cat. of Silver Plate, nos. 129, 146. (Pls. 187, no. 18; 189, no. 18.)",,Sk,,1926,29
19,,,," IX. Strainers (nos. 18, 19)",,"19. Sk. ‰Ûª26‰ÛÓ4,081/19. From same hoard as preceding. Basket‰ÛÓlike strainer of silver, •Âtted with ring-handle on either side. Height 512 in. On the outside, just below the rim, is a Kharoshthi inscription: Gomanada-putras(y)a jhan'idanamas(y)a= ‰Û÷(Property) of Jhamdanama, son of Gomanada.‰Ûª Cf. p. 157 (28) supra; A.S.R. (1926), p. 115, no. 7 and P1. XXVII, 5; and for the inscription, 011. II, pt. I, p. 99 (5) and P1. XIX, 5. The strainer is evidently a silver imitation of the kalathos or basket used in Greece and elsewhere for the straining of milk, etc. Also known as •ÂeuÌ©s, oxoivwos, or \‰Û÷JNOT•Âp. Observe, however, that the plaiting is merely imitation in thin silver relief. Cf. Dar. et Sag. 3.7). ‰Û÷Calathus‰Ûª, •Âg. 1003. (Pls. 187, no. 19; 189, no. 19.) Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XXVII, b",,Sk,,1926,29
20,,,," X. Lia's for large open-mouthed vessels (no. 20, a, [2).",,"20, a, b. Sk. ‰Ûª26‰ÛÓ4,o81/22; stratum III. From same hoard as preceding. Two circular concave lids of silver. Diam. 8-5 in. In the middle of the concave upper side is a looped handle in the form of a •Âsh soldered, apparently with copper, to the lid. Cf. p. 157 (29) supra; A.S.R. (1926), p. II 5, no. 10 and P1. XXVII, 8. For concave lids of earthenware, see ‰Û÷Pottery‰Ûª, nos. 186‰ÛÓ92, types a‰ÛÓc. (Pls. 187, no. 20; 189, nos. 20, a, b.)",,Sk,3,1926,29
21,77,66,E," XI. Miscellaneous (nos. 21, 22)","77,66","21. Sk. ‰Ûª13‰ÛÓ-194/1; Block E; sq. 77-66‰Ûª; stratum II. From same hoard as no. 16 (q.v.). Head of Dionysus or Silenus, in silver repoussÌ©, with stand beneath. Height 3-75 in. The relief of the head is 1-25 in. deep; the metal is extremely thin and brittle, and there is a break near the right ear and at the base of the rim. The head of the god is bald on top and wreathed with a grape-vine. His ears are pointed. In his right hand he holds a two‰ÛÓhandled wine‰ÛÓcup (kantharos). Behind his head passes the curved staff (thyrsos), with a bell suspended at its end. The front of the stand is adorned with a conventional palmette, and a rosette beneath; behind, is a curved ‰Û÷thumb‰ÛÓpiece‰Ûª which enabled the head to be set in a slanting position on the table. The stand closely resembles the handle of a kylix and was probably made for that purpose. For the form of the stand, cf. Schreiber, Alexandrinische T oreutik, •Âgs. 52‰ÛÓ4, 60, 61, 71, etc. CH. 29] SILVERWARE 615 and Taf. 1‰ÛÓ3; B.M. Cat. of jewellery, p. 240, no. 2112. For the bearded type of Dionysus holding a kantharos, cf. Dar. et Sag. s.v. ‰Û÷Bacchus‰Ûª, pp. 627 ff. and •Âgs. 709, 710, and ssv. ‰Û÷Cantharus‰Ûª, p. 893, n. 8, where numerous examples are cited. The kantharos is of a type which was in fashion about 300 B.C., but the relief may be a •Ârst century copy of older work. Cf. p. 159 (1) supra; A.S.R. (1912), p. 26, no. 1 and P1. XX, a. (P1. 209, a.)",209-a,Sk,2,1913,29
22,77,66,E," XI. Miscellaneous (nos. 21, 22)","77,66","22. Sk. ‰Ûª13‰ÛÓ194; Block E; sq. 77-66‰Ûª; stratum II. Circular boss of shield (Gr. Ì©uquxÌ©g) composed of two thin plates, an iron one on the inside, a silver one on the outside, riveted together at the edge with six silver nails. Diam. 469 in. At the back were three looped cross- pieces for the attachment of the handle. Compare the shield bosses in ‰Û÷Iron Objects‰Ûª, ch. 27, nos. 93‰ÛÓ5 and P1. 45, and ‰Û÷Copper and Bronze‰Ûª, ch. 28, nos. 388, 389. This shield- boss was used to close the mouth of the earthen jar containing nos. 16 and 21 supra and a quantity of gold jewellery. Cf. pp. 159‰ÛÓ60 supra. (Pl. 187, no. 22.)",187-22,Sk,2,1913,29
2,64,92,D, I. Ear-pendants and ear‰ÛÓrings (nos. 1‰ÛÓ53),"64,92","2. Gold ear-pendant in two pieces, the upper attached to the lower by means of a hook, which passes through a hollow cylinder in the latter. Height 4-37 in. The upper portion is built up on a square framework of •Ââat gold wire, subdivided into four small squares. At the back 79‰Û÷2 Disk-and- pendant and bar-and- pendant types Leech‰ÛÓand- pendant type 624 GOLD AND SILVER JEWELLERY [CH. 30 of this is a somewhat broader band of gold ending in two hooks which project beyond the framework on either side; at the point of projection the base of each hook is enriched with a small circlet edged with granules. The ornament on this framework consists of a quatrefoil central •Ââower, with sprays of three small leaves springing from the tips of its four obcordate petals, and rosettes alternating with them at the corners. Both rosettes and leaves were inlaid with turquoise paste. The central •Ââower is •Ânely granulated and further enriched with a corona of •Âve obcordate petals also inlaid With turquoise, on which a gold cupid is reposing. The lower piece consists of an amphora in the centre, and on either side of it an infant Eros riding on a winged sea-lion, from which hang four plaited chains ending in a pearl and leaf terminal, with a cluster of granules at the bottom of each leaf. The amphora is of beaded gold •Âligrain, with panels of turquoise paste between. It is set upon a three-stepped base, from which hang •Âve gold drops with a cluster of four tiny granules on each. The granules are of solid metal; the larger drops hollow. The cylinder on the top of the amphora has a beaded rim of gold granules. The winged cupids and sea-monsters appear to have been cast in a mould, and afterwards chased with a graving tool. The hair of the cupids, which falls on the shoulders in a natural row of ringlets, is very carefully worked. The wings and ears of the monsters and the wings of their riders both front and back are inlaid with turquoise, some pieces of which are missing. First century AD. Sk. ‰Ûª29‰ÛÓI,5o7/I; Block D‰Ûª; sq. 64-92‰Ûª; stratum II. Cf. A.S.R. (1929), p. 64, no. 50 and P1. XVIII, 2. For a pair of somewhat similar gold pendants purchased by me in Rawalpindi, see A.S.R. (1902‰ÛÓ3), pp. 186‰ÛÓ7, Pl. XXVIII, 1, 2. Other objects from the same hoard included nos. 57, 61, 96 and 137, 138 infra. See vol. I, p. 186, Deposit A, no. 1. (Pl. 190, c.)",190-c,Sk,2,1929,30
3,,,D, I. Ear-pendants and ear‰ÛÓrings (nos. 1‰ÛÓ53),,"3, 4. Pair of gold ear-pendants of ‰Û÷disk-and-pendant‰Ûª type. Diam. 1-2 5 in. The face of the disk is adorned with a full-blown •Âower surrounded by concentric bands of beading, scroll and chainwork. Between the points of the petals are globules of gold, and in the centre a beaded circlet, once •Âlled with turquoise paste. The outer petals of the •Ââower are embossed with imitation granules; the inner petals are plain. At the top of the disk is a trefoil •Ââeur-de-lys with a small ring behind, the cloisons of which were once •Âlled with paste. From the base depend •Âve plaited chains ending in gold beads. First century AD. Sk. ‰Ûª26‰ÛÓ4,081/6; sq. 5847‰Ûª; Block D; stratum III. Cf. p. 156, no. I supra; A.S.R. (1926), p. 14, no. 10, and P1. XXVI, 12, 13. From the same hoard as nos. 5, 6, 15‰ÛÓ24, 48‰ÛÓ51, 62, 67, 74, 78, 79, 101, 125‰ÛÓ32, 146, 148‰ÛÓ65, 179‰ÛÓ98. (Pl. 190, d.)",190-d,Sk,3,1926,30
9,,,E, I. Ear-pendants and ear‰ÛÓrings (nos. 1‰ÛÓ53),,"9, I0. Pair of gold ear-pendants of ‰Û÷leech‰ÛÓand-pendant‰Ûª type, consisting of a plain leech crescent with clasp and a ‰Û÷bud‰Ûª pendant suspended from it by a movable ring. Length 362 in. The leech is of thin plate-gold shaped on a core of lac or pitch. The clasp, which is attached by means of a ring hinge, is of ‰Û÷double-leech‰Ûª pattern ornamented with a cinquefoil CH. 30] GOLD AND SILVER JEWELLERY 625 rosette, two hearts and a narrow strap. The rosette and hearts were inlaid with stones or pastes which are now missing. The pendent buds are covered with •Âne granulation and their •Âve points end in clusters of drops and granules. The ring to which the bud is attached is decorated on the outside with a double row of beads divided one from the other by a •Âne beading. At the top of the leech crescent is a small ring by which the ornament was suspended from the ear. First century A.D. Sk. ‰Ûª13‰ÛÓ194/5‰ÛÓ6; sq. 7766‰Ûª; Block E; stratum II. Cf. A.S.R. (1912), p. 26, nos. 5, 6 and Pl. XXI, b, I, 2, 3, 5. The Greek practice, common among the jewellers of Taxila, of •Âlling hollow ornaments of gold-foil with solid substances Such as pitch, wax, mastic, etc., is alluded to in the temple inventories of Delos, where we read, for example, of u•Âho: xpuoÌ©‰Ûª: Knpoo'r•Âs 112on and u•Âha xpuo•Âr ‰Ûªe'wo: 1T7mp•Â y•Âs. Cf. B.M. Cat. of jewellery, pp. XXXVi and XXXVii. Other objects from the same hoard were: ‰Û÷Jewellery‰Ûª, nos. 30, 35, 42, 43, 59, 64, 68, 70, 91, 116~19, 211~13. ‰Û÷Finger-rings‰Ûª, nos. 13‰ÛÓ16. ‰Û÷Silverware‰Ûª, nos. 16, 21. ‰Û÷Copper and Bronze‰Ûª, no. 417. Cf. vol. I, p. 159, no. 3. (Pl. 190, g.)",190-g,Sk,2,1913,30
11,62,113,D, I. Ear-pendants and ear‰ÛÓrings (nos. 1‰ÛÓ53),"62,113","11, 12. Pair of gold ear‰ÛÓpendants similar to the preceding. Length 4-87 in. The double‰ÛÓ leech clasp is ornamented at the centre with a female bust superimposed on a lotus rosette, at the top with a cinquefoil lotus with obcordate petals, and at the bottom with a beaded circlet. The pendant ring is relieved on the outside with three rows of beads and granules, and there are four small stars, besides the granulation, on the shoulders of the buds. First century A.D. Sk. ‰Ûª29‰ÛÓ1,241/2; Block D‰Ûª; sq. 62-113‰Ûª; stratum III. Cf. p. 187, no. 2 supra; A.S.R. (1929), p. 59, no. 2 and P1. XVIII, I, 3. For other objects from same hoard, see nos. 7, 8 supra. (Pl. 190, 2'.)",190-2',Sk,3,1929,30
